id,name,estado,municipio,tipo_de_operacion,altitude,coordinates,fecha_de_vencimiento
HP 1838,REFORMA 180,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,2399.00,19 25 46.36 N 99 9 39.21 W,07/10/2030
HP 1839,CENTRO TECNOLOGICO,ESTADO DE MEXICO,ATIZAPÁN DE ZARAGOZA,DIURNO,2399.00,19 32 36.58 N 99 16 30.08 W,26/01/2032
HP 1846,ONE O ONE,CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO,2693.00,19 21 33 N 99 16 44.7 W,01/10/2030
HP 1852,TRAGAMEX LEGARIA,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,2297.00,19 26 39.5 N 99 12 42.3 W,23/03/2033
HP 1860,REAL DEL MONTE,HIDALGO,PACHUCA,DIURNO,2440.00,20 8 16.23 N 98 43 45.03 W,01/10/2030
HP 1869,HOSPITAL CORDOBA,VERACRUZ,CORDOBA,DIURNO,923.00,18 53 49.35 N 96 56 33.6 W,31/12/2034
HP 1870,PUNTO POLANCO,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,2353.00,19 26 23.3 N 99 11 3.4 W,21/09/2031
HP 1876,ESPACIO SANTA FE,CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO,2776.00,19 21 46.9 N 99 16 53.4 W,16/03/2032
HP 1887,DESARROLLO PATRIMONIAL CITY,PUEBLA,SAN ANDRES CHOLULA,DIURNO,2180.00,19 1 40.59 N 98 14 9.37 W,02/03/2033
HP 1890,CENTRO DE NEGOCIOS TOLUCA,ESTADO DE MEXICO,TOLUCA,DIURNO,2636.00,19 16 47.24 N 99 36 27.71 W,20/02/2033
HP 1893,CORPOFE,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,2596.00,19 22 0.3 N 99 15 43.85 W,13/01/2032
HP 1900,LA VIÑA,MICHOACÁN,MORELIA,DIURNO,1946.00,19 40 32.77 N 101 12 17.83 W,31/01/2024
HP 1901,CASA NAYAÁ,GUERRERO,PILCAYA,DIURNO,1205.00,18 42 13.93 N 99 29 18.52 W,24/03/2032
HP-1903,LA VIGA,CIUDAD DE MÉXICO,IZTAPALAPA,DIURNO,2292.00,19 22 46.88 N 99 7 17.24 W,24/06/2019
HP-1904,REFORMA LATINO,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,2422.00,19 25 39.03 N 99 9 55.64 W,30/11/29
HP-1909,DESARROLLO LAS AMERICAS,JALISCO,GUADALAJARA,DIURNO,1572.00,20 41 52.54 N 103 22 24.42 W,23/06/2019
HP-1919,PARQUE TOREO I,ESTADO DE MEXICO,NAUCALPAN,DIURNO,2426.00,19 27 20.37 N 99 13 9.42 W,12/06/2019
HP-1920,PARQUE TOREO III,ESTADO DE MEXICO,NAUCALPAN,DIURNO,2389.00,19 27 16.51 N 99 13 5.55 W,12/06/2019
HP-1927,TORRE DIANA,CIUDAD DE MÉXICO,CUAHUTEMOC,DIURNO/NOCTURNO ,2394.00,19 25 35.48 N 99 10 18.88 W,19/04/2033
HP-1936,CORPORATIVO NIETO,QUERETARO,QUERÉTARO,DIURNO,1840.00,20 35 10 N 100 22 15 W,19/06/2019
HP-1943,CAPELA,GUERRERO,TELOLOAPAN,DIURNO,1231.00,18 18 40.04 N 99 55 48.13 W,19/05/2019
HP-1944,HOSPITAL DE TRAUMATOLOGIA Y ORTOPEDIA,PUEBLA,PUEBLA,DIURNO,2217.16,19 5 12.1 N 98 11 56 W,23/05/2019
HP-1945,COMPLEJO MEDICO DEL SUR,PUEBLA,PUEBLA,DIURNO,2128.00,18 59 4.6 N 98 14 31.3 W,29/11/2048
HP-1946,HOSPITAL GENERAL DE CHOLULA,PUEBLA,SAN ANDRES CHOLULA,DIURNO,2112.83,19 1 2.6 N 98 11 56.7 W,29/11/2048
HP-1947,HOSPITAL GENERAL DE TEZIUTLAN,PUEBLA,TEZIUTLAN,DIURNO,1920.95,19 49 19 N 97 22 36.9 W,23/05/2019
HP-1949,EL CORTIJO ,ESTADO DE MEXICO,HUIXQUILUCAN,DIURNO,2488.00,19 24 10 N 99 16 37 W,14/08/2033
HP-1950,PLANTA AUDI MEXICO,PUEBLA,SAN JOSE CHIAPA,DIURNO,2360.00,19 12 59 N 97 44 47 W,23/06/2019
HP 1958,BANORTE TLALPAN III,CIUDAD DE MÉXICO,TLALPAN,DIURNO,2274.00,19 18 49.1 N 99 8 12.5 W,04/06/2019
HP-1961,METROPOLITAN,PUEBLA,CHOLULA,DIURNO,2123.00,19 1 40.66 N 98 14 14.95 W,19/06/19
HP-1962,AURUM,NUEVO LEÓN,SAN PEDRO GARZA GARCIA,DIURNO,660.00,25 39 30.73 N 100 20 34.02 W,05/06/2019
HP-1965,C5i GUANAJUATO,GUANAJUATO,SILAO,DIURNO,1797.00,21 0 37.37 N 101 30 49.76 W,24/06/2019
HP-1971,CIMA REAL,GUERRERO,ACAPULCO,DIURNO,123.00,26 47 23.81 N 99 49 53.61 W,29/11/2033
HP-1974,SSP GUANAJUATO,GUANAJUATO,GUANAJUATO,DIURNO,1916.00,20 57 29 N 101 17 42 W,10/06/19
