id,name,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,radius,lim_sup,lim_inf,days,hours,flights_affected
MMR-237,,27 52 24N  106 32 45W,27 52 10N  105 30 40W,27 03 41N  105 12 03W,26 56 00N  105 40 00W,27 27 30N  106 43 00W,27 52 24N  106 32 45W,,,,,,,,18000 FT,10000 FT,LUN A SAB,1300/2100,VFR
MMP-300,SANTA GERTRUDIZ,28 09 00N  105 20 00W,27 51 50N  105 14 01W,27 42 00N  105 10 00W,27 08 00N  104 55 00W,26 56 00N  105 40 00W,27 27 30N  106 43 00W,28 04 00N  106 28 00W,28 05 00N  105 59 00W,28 09 00N  105 20 00W,,,,,10000 FT AMSL,GND,LUN A VIE,1300 / 2400 TSC 1200 / 2300 TVC,VFR
MMP-301,,25 50 00N 097 38 00W,,,,,,,,,,,,926,1000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-302,GASERA,26 04 18N 098 16 45W,,,,,,,,,,,,926,1500 FT AMSL,GND,CONTINUO,H24,VFR
MMP-303,CAMARGO,27 40 02N 105 08 51W,,,,,,,,,,,,926,7000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-304,CADEREYTA,25 35 24N 099 56 34W,,,,,,,,,,,,2315,4000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-305,CACIR,26 54 16.10N 105 45 43.89W,,,,,,,,,,,,926,10000 FT AMSL,GND,CONTINUO,SR/SS,VFR
MMR-400,FOCAS,,,,,,,,,,,,,,10000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMR-401,MAZATLAN,24 22 06N  111 20 48W,24 18 48N  111 16 20W,24 16 42N  111 18 18W,24 19 09N  111 22 54W,24 22 06N  111 20 48W,,,,,,,,,5000 FT AMSL,GND,CONTINUO,H24,VFR/IFR
MMR-402,ISLAS MARIAS,21 36 40N 106 36 00W,,,,,,,,,,,,26854,5000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-403,,,,,,,,,,,,,,,3500 FT AMSL,1000FT AGL,POR NOTAM,POR NOTAM,VFR
MMR-404,,,,,,,,,,,,,,,15000 FT AMSL,1000FT AGL,POR NOTAM,POR NOTAM,VFR
MMR-405,,,,,,,,,,,,,,,8500 FT AMSL,1000FT AG L,POR NOTAM,POR NOTAM,VFR
MMR-406,,,,,,,,,,,,,,,10000 FT AMSL,1000FT AGL,POR NOTAM,POR NOTAM,VFR
MMR-407,,,,,,,,,,,,,,,4000 FT AMSL,1000FT AGL,POR NOTAM,POR NOTAM,VFR
MMR-408,,,,,,,,,,,,,,,19000 AMSL,3000FT AGL,POR NOTAM,POR NOTAM,VFR
MMR-409,,,,,,,,,,,,,,,4000 FT AMSL,1000FT AGL,POR NOTAM,POR NOTAM,VFR
MMR-410,,,,,,,,,,,,,,,4500 FT AMSL,500FT AGL,POR NOTAM,POR NOTAM,VFR
MMR-411,,,,,,,,,,,,,,,19000 FT AMSL,1000FT AGL,POR NOTAM,POR NOTAM,VFR
MMR-412,,31 58 00N  116 19 00W,31 56 00N  116 07 00W,31 45 00N  116 00 00W,31 40 00N  116 16 00W,31 58 00N  116 19 00W,,,,,,,,,9000 FT AMSL,1000FT AGL,POR NOTAM,POR NOTAM,VFR
MMR-413,,31 40 00N  116 16 00W,31 45 00N  116 00 00W,31 33 00N  115 39 00W,31 24 00N  115 44 00W,31 32 00N  116 08 00W,31 40 00N  116 16 00W,,,,,,,,9000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMR-414,,31 32 00N  116 40 00W,31 35 00N  116 28 00W,31 24 00N  116 15 00W,31 24 00N  116 30 00W,31 32 00N  116 40 00W,,,,,,,,,6000 FT AMSL,1000FT AGL,POR NOTAM,POR NOTAM,VFR
MMR-415,,24 16 33N 110 20 05W,24 15 58N 110 14 36W,24 11 43N 110 15 09W,24 12 17N 110 20 37 W,24 16 33N 110 20 05W,,,,,,,,,1500 FT AMSL,GND,CONTINUO,H24,VFR
MMR-416,PENAL,25 31 33 N 108 31 55W,,,,,,,,,,,,3704,5000 FT AMSL,GND,CONTINUO,H24,VFR
